Age (in months),3rd Percentile Weight (in kilograms),5th Percentile Weight (in kilograms),10th Percentile Weight (in kilograms),25th Percentile Weight (in kilograms),50th Percentile Weight (in kilograms),75th Percentile Weight (in kilograms),90th Percentile Weight (in kilograms),95th Percentile Weight (in kilograms),97th Percentile Weight (in kilograms)
0,2.414112,2.547905,2.747222,3.064865,3.399186,3.717519,3.992572,4.152637,4.254922
0.5,2.756917,2.894442,3.101767,3.437628,3.797528,4.145594,4.450126,4.628836,4.743582
1.5,3.402293,3.54761,3.770157,4.138994,4.544777,4.946766,5.305632,5.519169,5.657379
2.5,3.997806,4.150639,4.387042,4.78482,5.230584,5.680083,6.087641,6.332837,6.492574
3.5,4.547383,4.707123,4.955926,5.379141,5.859961,6.351512,6.80277,7.076723,7.256166
4.5,5.054539,5.220488,5.480295,5.925888,6.437588,6.966524,7.457119,7.757234,7.95473
5.5,5.5225,5.693974,5.96351,6.428828,6.96785,7.53018,8.056331,8.38033,8.594413
6.5,5.954272,6.130641,6.408775,6.891533,7.454854,8.047178,8.605636,8.951544,9.180938
7.5,6.352668,6.533373,6.819122,7.317373,7.902436,8.521877,9.109878,9.476009,9.719621
8.5,6.720328,6.904886,7.197414,7.709516,8.314178,8.958324,9.573546,9.95848,10.21539
9.5,7.059732,7.247736,7.546342,8.070932,8.693418,9.360271,10.00079,10.40335,10.6728
10.5,7.373212,7.564327,7.868436,8.4044,9.043262,9.731193,10.39545,10.8147,11.09607
11.5,7.662959,7.856916,8.166069,8.712513,9.366594,10.07431,10.76106,11.19625,11.48908
12.5,7.93103,8.127621,8.44146,8.997692,9.666089,10.39258,11.10089,11.55145,11.85539
13.5,8.179356,8.378425,8.696684,9.262185,9.944226,10.68874,11.41792,11.88348,12.19829
14.5,8.409744,8.611186,8.93368,9.508085,10.20329,10.96532,11.71491,12.19522,12.52078
15.5,8.623887,8.827638,9.154251,9.737329,10.44541,11.22463,11.99438,12.48934,12.82561
16.5,8.82337,9.029399,9.360079,9.951715,10.67251,11.46878,12.25862,12.76825,13.11527
17.5,9.009668,9.21798,9.552723,10.1529,10.88639,11.69972,12.50974,13.03415,13.39204
18.5,9.18416,9.394782,9.73363,10.34241,11.08868,11.91921,12.74964,13.28904,13.65799
19.5,9.348127,9.56111,9.90414,10.52167,11.2809,12.12887,12.98004,13.53473,13.91497
20.5,9.50276,9.71817,10.06549,10.69196,11.4644,12.33016,13.2025,13.77284,14.16467
21.5,9.649162,9.867081,10.21882,10.85446,11.64043,12.52439,13.41844,14.00484,14.40858
22.5,9.788355,10.00887,10.36518,11.01027,11.81014,12.71277,13.62911,14.23205,14.64807
23.5,9.921281,10.1445,10.50553,11.16037,11.97454,12.89636,13.83564,14.45561,14.88432
24.5,10.04881,10.27483,10.64076,11.30567,12.13456,13.07613,14.03902,14.67659,15.11839
25.5,10.17173,10.40066,10.77167,11.44697,12.29102,13.25293,14.24017,14.89587,15.35122
26.5,10.29079,10.52274,10.89899,11.58501,12.44469,13.42753,14.43984,15.11428,15.58363
27.5,10.40664,10.64171,11.02338,11.72047,12.59622,13.60059,14.63873,15.33249,15.81632
28.5,10.5199,10.75819,11.14545,11.85392,12.74621,13.77271,14.83743,15.55113,16.0499
29.5,10.63112,10.87273,11.26575,11.98592,12.89517,13.9444,15.03646,15.7707,16.28491
30.5,10.74078,10.98581,11.38474,12.11692,13.04357,14.11611,15.23626,15.99164,16.52176
31.5,10.84935,11.09789,11.50288,12.24735,13.19181,14.28822,15.43719,16.21432,16.76085
32.5,10.95722,11.20934,11.62054,12.37757,13.34023,14.46106,15.63957,16.43904,17.00245
33.5,11.06475,11.32054,11.73806,12.50791,13.48913,14.63491,15.84365,16.66605,17.24681
34.5,11.17225,11.43177,11.85574,12.63865,13.63877,14.80998,16.04963,16.89553,17.49412
35.5,11.28,11.54332,11.97384,12.77001,13.78937,14.98647,16.25767,17.12762,17.7445
36,11.33404,11.59929,12.03312,12.836,13.86507,15.07529,16.3625,17.24469,17.87089
